event_id,channel,type,min,max,std
traindata_20181006_072511,sgBD1718A,strain,,,
traindata_20181006_072511,sgBD1718C,strain,-1.693846962620181e-06,3.385704020927136e-05,8.17549601760232e-06
traindata_20181006_072511,sgBD2324AB,strain,,,
traindata_20181006_072511,sgBD2324AT,strain,,,
traindata_20181006_072511,sgBD2324C,strain,-1.7767669728540876e-06,2.7240479641234923e-05,6.591147074012262e-06
traindata_20181006_072511,sgBD2728A,strain,-7.820725761345488e-07,5.637841671032902e-05,1.2999887987495716e-05
traindata_20181006_072511,sgDI20ALB,strain,,,
traindata_20181006_072511,sgDI20ALL,strain,,,
traindata_20181006_072511,sgDI23ALB,strain,,,
traindata_20181006_072511,sgDI23ALL,strain,,,
traindata_20181006_072511,sgRABB,strain,,,
traindata_20181006_072511,sgRABL,strain,,,
traindata_20181006_072511,sgRAAB,strain,,,
traindata_20181006_072511,sgRAAL,strain,,,
traindata_20181008_074028,aBD11Az,accel,-0.5328250133026154,0.4579184004528206,0.06327834564304767
traindata_20181008_074028,aBD17Ay,accel,,,
traindata_20181008_074028,aBD17Az,accel,-0.6443482384970082,0.5368953191071134,0.07173316510779336
traindata_20181008_074028,aBD17Cz,accel,,,
traindata_20181008_074028,aBD23Ay,accel,,,
traindata_20181008_074028,aBD23Az,accel,,,
traindata_20181008_074028,aAR0910Ay,accel,,,
traindata_20181008_074028,aAR0910Cy,accel,,,
traindata_20181008_074028,aAR1516Ay,accel,,,
traindata_20181008_074028,aAR1516Cy,accel,,,
traindata_20181008_074028,aAR2122Ay,accel,,,
traindata_20181008_074028,aAR2122Cy,accel,,,
traindata_20181008_074028,sgBD1011A,strain,-4.272038607379462e-06,5.955637886711015e-06,8.37878945902085e-07
traindata_20181008_074028,sgBD1415A,strain,-7.458238205502668e-06,8.952815394335824e-07,1.723169573654604e-06
traindata_20181008_074028,sgBD1718A,strain,,,
traindata_20181008_074028,sgBD1718C,strain,-1.2182397498028294e-06,4.5942072009064484e-05,1.1401821384117087e-05
traindata_20181008_074028,sgBD2324AB,strain,,,
traindata_20181008_074028,sgBD2324AT,strain,,,
traindata_20181008_074028,sgBD2324C,strain,-2.002044009615856e-06,4.0259057552681596e-05,1.101839938403957e-05
traindata_20181008_074028,sgBD2728A,strain,-2.6989237340323537e-06,1.7131105723741464e-05,2.5677286633283675e-06
traindata_20181008_074028,sgDI20ALB,strain,,,
traindata_20181008_074028,sgDI20ALL,strain,,,
traindata_20181008_074028,sgDI23ALB,strain,,,
traindata_20181008_074028,sgDI23ALL,strain,,,
traindata_20181008_074028,sgRABB,strain,,,
traindata_20181008_074028,sgRABL,strain,,,
traindata_20181008_074028,sgRAAB,strain,,,
traindata_20181008_074028,sgRAAL,strain,,,
traindata_20181008_160049,aBD11Az,accel,-0.5835818944943033,0.7123381841171145,0.057671555984646364
traindata_20181008_160049,aBD17Ay,accel,,,
traindata_20181008_160049,aBD17Az,accel,-0.9516207817077869,0.7841057254989153,0.06885728151299066
traindata_20181008_160049,aBD17Cz,accel,,,
traindata_20181008_160049,aBD23Ay,accel,,,
traindata_20181008_160049,aBD23Az,accel,,,
traindata_20181008_160049,aAR0910Ay,accel,,,
traindata_20181008_160049,aAR0910Cy,accel,,,
traindata_20181008_160049,aAR1516Ay,accel,,,
traindata_20181008_160049,aAR1516Cy,accel,,,
traindata_20181008_160049,aAR2122Ay,accel,,,
traindata_20181008_160049,aAR2122Cy,accel,,,
traindata_20181008_160049,sgBD1011A,strain,-3.0553939107524225e-06,7.623116967452059e-06,9.454968446952445e-07
traindata_20181008_160049,sgBD1415A,strain,-8.008611404273911e-06,1.0410953488977962e-06,1.32248157010965e-06
traindata_20181008_160049,sgBD1718A,strain,,,
traindata_20181008_160049,sgBD1718C,strain,-2.61563579494603e-06,4.197276451033141e-05,1.1151189956660211e-05
traindata_20181008_160049,sgBD2324AB,strain,,,
traindata_20181008_160049,sgBD2324AT,strain,,,
traindata_20181008_160049,sgBD2324C,strain,-2.7516716070653726e-06,4.279300795230446e-05,1.1005278613182608e-05
traindata_20181008_160049,sgBD2728A,strain,-3.0404392609196858e-06,1.3737879356075997e-05,2.4660975429719336e-06
traindata_20181008_160049,sgDI20ALB,strain,,,
traindata_20181008_160049,sgDI20ALL,strain,,,
traindata_20181008_160049,sgDI23ALB,strain,,,
traindata_20181008_160049,sgDI23ALL,strain,,,
traindata_20181008_160049,sgRABB,strain,,,
traindata_20181008_160049,sgRABL,strain,,,
traindata_20181008_160049,sgRAAB,strain,,,
traindata_20181008_160049,sgRAAL,strain,,,
traindata_20181009_070825,aBD11Az,accel,-2.1218324910876443,1.947542511558056,0.11120867118297646
traindata_20181009_070825,aBD17Ay,accel,,,
traindata_20181009_070825,aBD17Az,accel,-1.671323021955031,2.1215805491444524,0.12453853120762705
traindata_20181009_070825,aBD17Cz,accel,,,
traindata_20181009_070825,aBD23Ay,accel,,,
traindata_20181009_070825,aBD23Az,accel,,,
traindata_20181009_070825,aAR0910Ay,accel,,,
traindata_20181009_070825,aAR0910Cy,accel,,,
traindata_20181009_070825,aAR1516Ay,accel,,,
traindata_20181009_070825,aAR1516Cy,accel,,,
traindata_20181009_070825,aAR2122Ay,accel,,,
traindata_20181009_070825,aAR2122Cy,accel,,,
traindata_20181009_070825,sgBD1011A,strain,-2.9053746866684242e-06,2.022085039011799e-05,4.125376297657322e-06
traindata_20181009_070825,sgBD1415A,strain,-2.4339258655037667e-06,1.6907392009716686e-05,3.4587328232873764e-06
traindata_20181009_070825,sgBD1718A,strain,,,
traindata_20181009_070825,sgBD1718C,strain,-1.0882167349408536e-06,2.9523517692748325e-05,7.463686618489181e-06
traindata_20181009_070825,sgBD2324AB,strain,,,
traindata_20181009_070825,sgBD2324AT,strain,,,
traindata_20181009_070825,sgBD2324C,strain,-1.1021539834470367e-06,2.3483024606556517e-05,5.7354870721635825e-06
traindata_20181009_070825,sgBD2728A,strain,-8.245957555760507e-07,5.381336986004447e-05,1.3024219947084498e-05
traindata_20181009_070825,sgDI20ALB,strain,,,
traindata_20181009_070825,sgDI20ALL,strain,,,
traindata_20181009_070825,sgDI23ALB,strain,,,
traindata_20181009_070825,sgDI23ALL,strain,,,
traindata_20181009_070825,sgRABB,strain,,,
traindata_20181009_070825,sgRABL,strain,,,
traindata_20181009_070825,sgRAAB,strain,,,
traindata_20181009_070825,sgRAAL,strain,,,
traindata_20181009_160007,aBD11Az,accel,-0.4725777579661861,0.5175872604986562,0.04632735357402545
traindata_20181009_160007,aBD17Ay,accel,,,
traindata_20181009_160007,aBD17Az,accel,-0.6616530705560516,0.7770797596792375,0.05735358965677236
traindata_20181009_160007,aBD17Cz,accel,,,
traindata_20181009_160007,aBD23Ay,accel,,,
traindata_20181009_160007,aBD23Az,accel,,,
traindata_20181009_160007,aAR0910Ay,accel,,,
traindata_20181009_160007,aAR0910Cy,accel,,,
traindata_20181009_160007,aAR1516Ay,accel,,,
traindata_20181009_160007,aAR1516Cy,accel,,,
traindata_20181009_160007,aAR2122Ay,accel,,,
traindata_20181009_160007,aAR2122Cy,accel,,,
traindata_20181009_160007,sgBD1011A,strain,-2.067778804313756e-06,7.994317568780102e-06,1.7972036139238182e-06
traindata_20181009_160007,sgBD1415A,strain,-5.056765731278434e-06,2.8026453131715153e-06,8.82298536680099e-07
traindata_20181009_160007,sgBD1718A,strain,,,
traindata_20181009_160007,sgBD1718C,strain,-2.6508156517491416e-06,3.8406490972355e-05,1.0079646806504213e-05
traindata_20181009_160007,sgBD2324AB,strain,,,
traindata_20181009_160007,sgBD2324AT,strain,,,
traindata_20181009_160007,sgBD2324C,strain,-2.9473772074584082e-06,3.9610286500699394e-05,1.0302548734286941e-05
traindata_20181009_160007,sgBD2728A,strain,-4.404930925587096e-06,1.5458956163999506e-05,3.189211012145316e-06
traindata_20181009_160007,sgDI20ALB,strain,,,
traindata_20181009_160007,sgDI20ALL,strain,,,
traindata_20181009_160007,sgDI23ALB,strain,,,
traindata_20181009_160007,sgDI23ALL,strain,,,
traindata_20181009_160007,sgRABB,strain,,,
